card_id,disp_id,type,issued,issued_parsed
603,3850,classic,980720 00:00:00,1998-07-20
604,3858,classic,981104 00:00:00,1998-11-04
605,3874,classic,981211 00:00:00,1998-12-11
606,3883,classic,960122 00:00:00,1996-01-22
607,3885,classic,970517 00:00:00,1997-05-17
608,3890,classic,971217 00:00:00,1997-12-17
609,3893,classic,961229 00:00:00,1996-12-29
610,3894,classic,970829 00:00:00,1997-08-29
611,3896,classic,971113 00:00:00,1997-11-13
612,3906,classic,970922 00:00:00,1997-09-22
613,3913,classic,980723 00:00:00,1998-07-23
614,3938,junior,981016 00:00:00,1998-10-16
616,3943,classic,970505 00:00:00,1997-05-05
617,3944,gold,970409 00:00:00,1997-04-09
618,3947,classic,980731 00:00:00,1998-07-31
619,3958,classic,980401 00:00:00,1998-04-01
620,3959,classic,980917 00:00:00,1998-09-17
621,3970,junior,960319 00:00:00,1996-03-19
622,3981,junior,970922 00:00:00,1997-09-22
623,3984,classic,980725 00:00:00,1998-07-25
624,3985,junior,980213 00:00:00,1998-02-13
625,3987,classic,970717 00:00:00,1997-07-17
626,3992,classic,981130 00:00:00,1998-11-30
627,3994,classic,980705 00:00:00,1998-07-05
628,4007,classic,970811 00:00:00,1997-08-11
629,4018,junior,980925 00:00:00,1998-09-25
630,4019,classic,980918 00:00:00,1998-09-18
631,4061,junior,980609 00:00:00,1998-06-09
632,4069,classic,981119 00:00:00,1998-11-19
633,4078,classic,971012 00:00:00,1997-10-12
634,4081,junior,980922 00:00:00,1998-09-22
635,4083,classic,981229 00:00:00,1998-12-29
636,4091,junior,981109 00:00:00,1998-11-09
637,4094,junior,970806 00:00:00,1997-08-06
638,4100,gold,971014 00:00:00,1997-10-14
639,4112,classic,980523 00:00:00,1998-05-23
640,4115,classic,980714 00:00:00,1998-07-14
641,4116,classic,960618 00:00:00,1996-06-18
642,4137,classic,961213 00:00:00,1996-12-13
643,4157,classic,980304 00:00:00,1998-03-04
644,4165,classic,980605 00:00:00,1998-06-05
645,4166,classic,980517 00:00:00,1998-05-17
646,4167,classic,980617 00:00:00,1998-06-17
647,4171,junior,970321 00:00:00,1997-03-21
648,4188,classic,971118 00:00:00,1997-11-18
649,4190,classic,980529 00:00:00,1998-05-29
650,4194,classic,971026 00:00:00,1997-10-26
651,4201,junior,960802 00:00:00,1996-08-02
652,4211,classic,950616 00:00:00,1995-06-16
653,4212,classic,980916 00:00:00,1998-09-16
654,4230,classic,981221 00:00:00,1998-12-21
655,4231,classic,980213 00:00:00,1998-02-13
656,4235,classic,971008 00:00:00,1997-10-08
657,4246,junior,981202 00:00:00,1998-12-02
658,4251,classic,941225 00:00:00,1994-12-25
659,4258,classic,980108 00:00:00,1998-01-08
660,4265,junior,970819 00:00:00,1997-08-19
661,4270,classic,950703 00:00:00,1995-07-03
662,4293,classic,950509 00:00:00,1995-05-09
663,4295,classic,970806 00:00:00,1997-08-06
664,4316,classic,971022 00:00:00,1997-10-22
665,4318,classic,970324 00:00:00,1997-03-24
666,4328,junior,951225 00:00:00,1995-12-25
667,4333,classic,970131 00:00:00,1997-01-31
668,4340,classic,970114 00:00:00,1997-01-14
669,4341,classic,980619 00:00:00,1998-06-19
670,4343,classic,960808 00:00:00,1996-08-08
671,4345,classic,970917 00:00:00,1997-09-17
672,4349,classic,980307 00:00:00,1998-03-07
673,4353,junior,960831 00:00:00,1996-08-31
674,4360,classic,981228 00:00:00,1998-12-28
675,4376,classic,970623 00:00:00,1997-06-23
676,4380,classic,980930 00:00:00,1998-09-30
677,4382,junior,981201 00:00:00,1998-12-01
678,4405,gold,970120 00:00:00,1997-01-20
679,4416,classic,970306 00:00:00,1997-03-06
680,4417,classic,980429 00:00:00,1998-04-29
681,4426,classic,970122 00:00:00,1997-01-22
682,4429,classic,981011 00:00:00,1998-10-11
683,4437,classic,980805 00:00:00,1998-08-05
684,4457,classic,980811 00:00:00,1998-08-11
685,4467,classic,981229 00:00:00,1998-12-29
687,4471,classic,980714 00:00:00,1998-07-14
688,4472,classic,970801 00:00:00,1997-08-01
689,4473,classic,980115 00:00:00,1998-01-15
690,4479,classic,961107 00:00:00,1996-11-07
691,4492,classic,981216 00:00:00,1998-12-16
692,4493,classic,981208 00:00:00,1998-12-08
693,4495,junior,981103 00:00:00,1998-11-03
694,4504,classic,970724 00:00:00,1997-07-24
695,4507,classic,951215 00:00:00,1995-12-15
696,4516,classic,980705 00:00:00,1998-07-05
697,4518,classic,961211 00:00:00,1996-12-11
698,4522,gold,971007 00:00:00,1997-10-07
699,4532,classic,950926 00:00:00,1995-09-26
700,4533,junior,980522 00:00:00,1998-05-22
701,4534,classic,980624 00:00:00,1998-06-24
702,4543,classic,980830 00:00:00,1998-08-30
703,4546,classic,970917 00:00:00,1997-09-17
704,4553,gold,981121 00:00:00,1998-11-21
705,4555,classic,950712 00:00:00,1995-07-12
706,4559,gold,970116 00:00:00,1997-01-16
707,4560,classic,971121 00:00:00,1997-11-21
708,4568,junior,960924 00:00:00,1996-09-24
709,4587,junior,970411 00:00:00,1997-04-11
710,4588,junior,961210 00:00:00,1996-12-10
711,4592,classic,980819 00:00:00,1998-08-19
713,4627,classic,950930 00:00:00,1995-09-30
714,4638,classic,970109 00:00:00,1997-01-09
715,4639,junior,981208 00:00:00,1998-12-08
716,4651,junior,980611 00:00:00,1998-06-11
717,4654,classic,980519 00:00:00,1998-05-19
718,4660,classic,970812 00:00:00,1997-08-12
719,4663,classic,950624 00:00:00,1995-06-24
720,4674,junior,980209 00:00:00,1998-02-09
721,4680,junior,940405 00:00:00,1994-04-05
722,4684,classic,961114 00:00:00,1996-11-14
723,4699,classic,971215 00:00:00,1997-12-15
724,4701,gold,980127 00:00:00,1998-01-27
725,4715,junior,960330 00:00:00,1996-03-30
726,4721,classic,980226 00:00:00,1998-02-26
727,4723,classic,980719 00:00:00,1998-07-19
728,4725,classic,981224 00:00:00,1998-12-24
729,4740,junior,970122 00:00:00,1997-01-22
730,4749,classic,970502 00:00:00,1997-05-02
731,4751,classic,960623 00:00:00,1996-06-23
732,4763,classic,940721 00:00:00,1994-07-21
733,4764,junior,970630 00:00:00,1997-06-30
734,4765,classic,980501 00:00:00,1998-05-01
735,4772,classic,981219 00:00:00,1998-12-19
736,4789,classic,960803 00:00:00,1996-08-03
737,4791,classic,950413 00:00:00,1995-04-13
738,4808,junior,980702 00:00:00,1998-07-02
739,4821,classic,971203 00:00:00,1997-12-03
740,4823,junior,980728 00:00:00,1998-07-28
741,4832,classic,960911 00:00:00,1996-09-11
742,4833,classic,981110 00:00:00,1998-11-10
743,4862,gold,981018 00:00:00,1998-10-18
744,4863,classic,981002 00:00:00,1998-10-02
746,4901,classic,981104 00:00:00,1998-11-04
747,4915,classic,940205 00:00:00,1994-02-05
748,4923,classic,970616 00:00:00,1997-06-16
749,4929,classic,981019 00:00:00,1998-10-19
750,4937,classic,981024 00:00:00,1998-10-24
751,4941,junior,981015 00:00:00,1998-10-15
752,4944,junior,980906 00:00:00,1998-09-06
753,4974,classic,981225 00:00:00,1998-12-25
754,4976,junior,981010 00:00:00,1998-10-10
755,5002,classic,980416 00:00:00,1998-04-16
756,5012,classic,980518 00:00:00,1998-05-18
757,5013,junior,980522 00:00:00,1998-05-22
758,5016,classic,980921 00:00:00,1998-09-21
759,5117,junior,950418 00:00:00,1995-04-18
760,5126,classic,980119 00:00:00,1998-01-19
761,5128,gold,980423 00:00:00,1998-04-23
762,5132,classic,971110 00:00:00,1997-11-10
763,5138,junior,941230 00:00:00,1994-12-30
764,5159,classic,960529 00:00:00,1996-05-29
765,5175,classic,980929 00:00:00,1998-09-29
766,5200,classic,950211 00:00:00,1995-02-11
767,5204,classic,970914 00:00:00,1997-09-14
768,5223,classic,980706 00:00:00,1998-07-06
769,5224,classic,981020 00:00:00,1998-10-20
770,5232,classic,980615 00:00:00,1998-06-15
771,5233,classic,960108 00:00:00,1996-01-08
772,5243,classic,961030 00:00:00,1996-10-30
773,5245,classic,981118 00:00:00,1998-11-18
774,5249,classic,971225 00:00:00,1997-12-25
775,5253,gold,980411 00:00:00,1998-04-11
776,5263,classic,961019 00:00:00,1996-10-19
778,5275,classic,950102 00:00:00,1995-01-02
779,5323,junior,950521 00:00:00,1995-05-21
780,5333,classic,980729 00:00:00,1998-07-29
781,5366,classic,970707 00:00:00,1997-07-07
782,5376,classic,980929 00:00:00,1998-09-29
783,5433,junior,951024 00:00:00,1995-10-24
784,5461,classic,980324 00:00:00,1998-03-24
785,5468,classic,980616 00:00:00,1998-06-16
786,5478,classic,961231 00:00:00,1996-12-31
791,5521,classic,970512 00:00:00,1997-05-12
792,5526,classic,981011 00:00:00,1998-10-11
795,5563,classic,980802 00:00:00,1998-08-02
796,5579,classic,980220 00:00:00,1998-02-20
801,5684,classic,970615 00:00:00,1997-06-15
803,5727,classic,980119 00:00:00,1998-01-19
813,5873,junior,961028 00:00:00,1996-10-28
814,5911,classic,960215 00:00:00,1996-02-15
819,5978,gold,981206 00:00:00,1998-12-06
820,6039,classic,981110 00:00:00,1998-11-10
823,6178,classic,980605 00:00:00,1998-06-05
824,6196,classic,980429 00:00:00,1998-04-29
829,6255,classic,981222 00:00:00,1998-12-22
831,6275,classic,980629 00:00:00,1998-06-29
833,6299,classic,980801 00:00:00,1998-08-01
834,6301,classic,980821 00:00:00,1998-08-21
841,6468,classic,970306 00:00:00,1997-03-06
844,6567,junior,980304 00:00:00,1998-03-04
847,6610,classic,970520 00:00:00,1997-05-20
850,6644,classic,970116 00:00:00,1997-01-16
854,6753,classic,961007 00:00:00,1996-10-07
855,6764,classic,981024 00:00:00,1998-10-24
857,6789,junior,981025 00:00:00,1998-10-25
863,6906,classic,980612 00:00:00,1998-06-12
874,7127,gold,971007 00:00:00,1997-10-07
880,7186,classic,980917 00:00:00,1998-09-17
882,7195,classic,960911 00:00:00,1996-09-11
884,7286,gold,970731 00:00:00,1997-07-31
886,7325,classic,981215 00:00:00,1998-12-15
890,7422,classic,960908 00:00:00,1996-09-08
891,7434,classic,971223 00:00:00,1997-12-23
896,7567,classic,970918 00:00:00,1997-09-18
897,7576,classic,980118 00:00:00,1998-01-18
904,7672,classic,980122 00:00:00,1998-01-22
906,7683,gold,980518 00:00:00,1998-05-18
918,7796,classic,980427 00:00:00,1998-04-27
923,7855,classic,980924 00:00:00,1998-09-24
924,7862,classic,981224 00:00:00,1998-12-24
933,7959,junior,980421 00:00:00,1998-04-21
936,8030,classic,970802 00:00:00,1997-08-02
939,8217,junior,970529 00:00:00,1997-05-29
942,8295,classic,971202 00:00:00,1997-12-02
945,8342,junior,960509 00:00:00,1996-05-09
946,8359,junior,980228 00:00:00,1998-02-28
947,8366,classic,971108 00:00:00,1997-11-08
951,8392,classic,980816 00:00:00,1998-08-16
956,8502,classic,980930 00:00:00,1998-09-30
957,8506,junior,981016 00:00:00,1998-10-16
965,8636,classic,980402 00:00:00,1998-04-02
977,8968,classic,960508 00:00:00,1996-05-08
989,9119,classic,960221 00:00:00,1996-02-21
991,9149,junior,980701 00:00:00,1998-07-01
1001,9247,classic,981120 00:00:00,1998-11-20
1002,9261,classic,980709 00:00:00,1998-07-09
1003,9274,classic,980809 00:00:00,1998-08-09
1005,9285,classic,931107 00:00:00,1993-11-07
1007,9333,gold,980925 00:00:00,1998-09-25
1009,9409,gold,970614 00:00:00,1997-06-14
1010,9413,classic,961027 00:00:00,1996-10-27
1014,9452,classic,961102 00:00:00,1996-11-02
1016,9525,classic,971028 00:00:00,1997-10-28
1022,9606,classic,971213 00:00:00,1997-12-13
1023,9621,classic,980830 00:00:00,1998-08-30
1024,9622,classic,980920 00:00:00,1998-09-20
1025,9625,classic,970908 00:00:00,1997-09-08
1035,9732,classic,981011 00:00:00,1998-10-11
1036,9735,classic,970117 00:00:00,1997-01-17
1038,9787,junior,950330 00:00:00,1995-03-30
1039,9837,classic,950107 00:00:00,1995-01-07
1040,9890,junior,950528 00:00:00,1995-05-28
1043,9974,junior,960814 00:00:00,1996-08-14
1055,10171,classic,960724 00:00:00,1996-07-24
1056,10220,classic,971106 00:00:00,1997-11-06
1059,10235,classic,970729 00:00:00,1997-07-29
1064,10328,classic,960217 00:00:00,1996-02-17
1070,10490,junior,981108 00:00:00,1998-11-08
1076,10604,gold,980727 00:00:00,1998-07-27
1081,10696,classic,981225 00:00:00,1998-12-25
1087,10887,classic,961006 00:00:00,1996-10-06
1093,11011,classic,970120 00:00:00,1997-01-20
1095,11023,gold,970728 00:00:00,1997-07-28
1098,11063,classic,980901 00:00:00,1998-09-01
1100,11101,junior,960410 00:00:00,1996-04-10
1102,11183,classic,980425 00:00:00,1998-04-25
1103,11189,classic,951104 00:00:00,1995-11-04
1105,11237,classic,971213 00:00:00,1997-12-13
1111,11288,classic,961231 00:00:00,1996-12-31
1115,11375,junior,971003 00:00:00,1997-10-03
1118,11393,classic,970102 00:00:00,1997-01-02
1134,11742,classic,960531 00:00:00,1996-05-31
1137,11771,gold,981201 00:00:00,1998-12-01
1138,11825,classic,970629 00:00:00,1997-06-29
1139,11836,junior,960326 00:00:00,1996-03-26
1150,12020,classic,980825 00:00:00,1998-08-25
1154,12070,classic,980905 00:00:00,1998-09-05
1155,12088,classic,980801 00:00:00,1998-08-01
1164,12269,classic,960812 00:00:00,1996-08-12
1165,12291,classic,981108 00:00:00,1998-11-08
1167,12335,classic,980718 00:00:00,1998-07-18
1169,12354,classic,981130 00:00:00,1998-11-30
1173,12442,classic,970508 00:00:00,1997-05-08
1175,12494,classic,981124 00:00:00,1998-11-24
1176,12502,gold,960703 00:00:00,1996-07-03
1177,12535,gold,981206 00:00:00,1998-12-06
1178,12542,classic,970619 00:00:00,1997-06-19
1187,12635,gold,960717 00:00:00,1996-07-17
1188,12678,classic,980919 00:00:00,1998-09-19
1189,12683,classic,980317 00:00:00,1998-03-17
1192,12736,classic,980702 00:00:00,1998-07-02
1193,12743,classic,981001 00:00:00,1998-10-01
1194,12781,junior,980430 00:00:00,1998-04-30
1195,12787,gold,980904 00:00:00,1998-09-04
1196,12805,classic,970627 00:00:00,1997-06-27
1199,12826,classic,980309 00:00:00,1998-03-09
1203,12893,classic,970926 00:00:00,1997-09-26
1216,13097,classic,980526 00:00:00,1998-05-26
1217,13098,junior,980809 00:00:00,1998-08-09
1220,13160,classic,970808 00:00:00,1997-08-08
1223,13231,junior,950502 00:00:00,1995-05-02
1225,13268,classic,951122 00:00:00,1995-11-22
1230,13312,classic,980308 00:00:00,1998-03-08
1233,13382,classic,960706 00:00:00,1996-07-06
1234,13386,classic,971128 00:00:00,1997-11-28
1239,13442,junior,980202 00:00:00,1998-02-02
1247,13660,classic,950613 00:00:00,1995-06-13
